,Start Time,End Time,Trip Duration,Start Station,End Station,User Type
1749348,6/30/2017 10:31,6/30/2017 10:47,967.214,3rd & G St SE,M St & Delaware Ave NE,Subscriber
1750378,6/30/2017 11:44,7/1/2017 12:12,1720.992,14th & Upshur St NW,Georgia & Missouri Ave NW,Customer
1748894,6/30/2017 10:02,6/30/2017 10:24,1358.881,3rd & H St NE,3rd & H St NE,Customer
1748947,6/30/2017 10:05,6/30/2017 10:19,826.768,Columbus Circle / Union Station,Jefferson Dr & 14th St SW,Subscriber
1749244,6/30/2017 10:24,6/30/2017 10:44,1204.857,14th & Upshur St NW,15th & L St NW,Subscriber
1749390,6/30/2017 10:34,6/30/2017 10:45,634.158,17th & K St NW,Potomac & M St NW,Subscriber
1748769,6/30/2017 9:54,6/30/2017 10:01,442.857,4th & E St SW,3rd St & Pennsylvania Ave SE,Subscriber
1750320,6/30/2017 11:39,6/30/2017 11:43,235.991,20th St & Florida Ave NW,California St & Florida Ave NW,Customer
1749527,6/30/2017 10:43,6/30/2017 11:45,3759.539,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Metro Center / 12th & G St NW,Customer
1749561,6/30/2017 10:45,6/30/2017 10:51,378.394,8th & Eye St SE / Barracks Row,1st & K St SE,Subscriber
1751224,6/30/2017 12:44,6/30/2017 12:52,497.068,18th & R St NW,19th & K St NW,Subscriber
1749376,6/30/2017 10:33,6/30/2017 10:46,771.106,12th St & Pennsylvania Ave SE,13th & H St NE,Subscriber
1750375,6/30/2017 11:44,6/30/2017 1:40,6958.056,21st St & Constitution Ave NW,21st St & Constitution Ave NW,Customer
1750715,6/30/2017 12:03,6/30/2017 12:09,359.951,11th & O St NW,8th & H St NW,Subscriber
1749007,6/30/2017 10:09,6/30/2017 10:10,89.456,Columbia Rd & Belmont St NW,Adams Mill & Columbia Rd NW,Subscriber
1749972,6/30/2017 11:14,6/30/2017 11:28,834.825,Lincoln Memorial,Jefferson Dr & 14th St SW,Customer
1750761,6/30/2017 12:07,6/30/2017 12:13,395.623,1st & K St SE,Washington & Independence Ave SW/HHS,Customer
1748801,6/30/2017 9:56,6/30/2017 10:19,1358.486,Oklahoma Ave & D St NE,13th St & New York Ave NW,Customer
1749961,6/30/2017 11:14,6/30/2017 11:27,822.053,Lincoln Memorial,Jefferson Dr & 14th St SW,Customer
1749556,6/30/2017 10:45,6/30/2017 11:12,1618.408,North Capitol St & F St NW,7th & E St SW,Subscriber
1749074,6/30/2017 10:13,6/30/2017 10:18,296.546,14th & G St NW,14th & G St NW,Customer
1750771,6/30/2017 12:07,6/30/2017 12:32,1509.323,L'Enfant Plaza / 7th & C St SW,Lincoln Memorial,Customer
1748830,6/30/2017 9:58,6/30/2017 10:04,354.97,Bethesda Ave & Arlington Rd,Battery Ln & Trolley Trail,Subscriber
1749947,6/30/2017 11:13,6/30/2017 11:27,866.967,21st & M St NW,18th St & Wyoming Ave NW,Customer
1749832,6/30/2017 11:05,6/30/2017 11:18,780.295,Lee Hwy & N Scott St,Fairfax Dr & Kenmore St,Subscriber
1751218,6/30/2017 12:43,6/30/2017 12:47,219.662,US Dept of State / Virginia Ave & 21st St NW,20th & E St NW,Subscriber
1749211,6/30/2017 10:22,6/30/2017 10:34,718.379,7th & T St NW,5th & F St NW,Subscriber
1750445,6/30/2017 11:48,6/30/2017 11:58,622.354,10th St & Constitution Ave NW,15th & P St NW,Subscriber
1748884,6/30/2017 10:01,6/30/2017 10:11,622.081,Wisconsin Ave & O St NW,22nd & P ST NW,Customer
1750086,6/30/2017 11:22,6/30/2017 11:50,1688.588,Washington & Independence Ave SW/HHS,19th St & Constitution Ave NW,Customer
1750952,6/30/2017 12:20,6/30/2017 12:29,524.678,17th & K St NW,New Hampshire Ave & T St NW,Subscriber
1749356,6/30/2017 10:31,6/30/2017 10:59,1653.401,Virginia Square Metro / N Monroe St & 9th St N,Columbia Pike & S Walter Reed Dr,Customer
1750115,6/30/2017 11:25,6/30/2017 11:32,423.615,California St & Florida Ave NW,22nd & P ST NW,Subscriber
1750581,6/30/2017 11:56,6/30/2017 12:07,655.853,18th St & Wyoming Ave NW,19th & L St NW,Subscriber
1749677,6/30/2017 10:53,6/30/2017 11:01,479.556,Columbia Rd & Belmont St NW,24th & N St NW,Customer
1749408,6/30/2017 10:35,6/30/2017 11:03,1686.573,16th & Irving St NW,16th & Irving St NW,Customer
1749314,6/30/2017 10:28,6/30/2017 10:36,475.666,New York Ave & 15th St NW,Thomas Circle,Customer
1750565,6/30/2017 11:55,6/30/2017 11:58,159.147,Adams Mill & Columbia Rd NW,18th St & Wyoming Ave NW,Subscriber
1749045,6/30/2017 10:11,6/30/2017 10:14,168.732,Eads St & 15th St S,12th & Army Navy Dr,Subscriber
1749722,6/30/2017 10:57,6/30/2017 11:05,491.63,Adams Mill & Columbia Rd NW,15th & P St NW,Subscriber
1749346,6/30/2017 10:31,6/30/2017 11:02,1849.498,15th & K St NW,15th & M St NW,Subscriber
1750175,6/30/2017 11:29,6/30/2017 12:07,2336.011,15th & P St NW,Lincoln Memorial,Customer
1748793,6/30/2017 9:55,6/30/2017 10:12,967.546,37th & O St NW / Georgetown University,15th & P St NW,Subscriber
1750132,6/30/2017 11:26,6/30/2017 11:42,933.763,New Hampshire Ave & 24th St NW,15th St & Constitution Ave NW,Subscriber
1751136,6/30/2017 12:35,6/30/2017 12:56,1292.708,Connecticut Ave & R St NW,10th & U St NW,Customer
1750091,6/30/2017 11:23,6/30/2017 11:40,1024.953,Georgia & New Hampshire Ave NW,25th St & Pennsylvania Ave NW,Subscriber
1750625,6/30/2017 11:58,7/1/2017 12:00,125.828,4th & East Capitol St NE,4th & East Capitol St NE,Subscriber
1750130,6/30/2017 11:26,6/30/2017 11:36,574.462,New Jersey Ave & R St NW,New Hampshire Ave & T St NW,Subscriber
1750433,6/30/2017 11:47,6/30/2017 11:55,499.097,2nd St & Massachusetts Ave NE,Eastern Market / 7th & North Carolina Ave SE,Subscriber
1751359,6/30/2017 12:52,6/30/2017 1:18,1540.406,Henry Bacon Dr & Lincoln Memorial Circle NW,4th & C St SW,Customer
1750374,6/30/2017 11:43,7/1/2017 12:12,1744.405,14th & Upshur St NW,Georgia & Missouri Ave NW,Customer
1750977,6/30/2017 12:21,6/30/2017 12:37,939.376,Jefferson Memorial,L'Enfant Plaza / 7th & C St SW,Customer
1751173,6/30/2017 12:39,6/30/2017 1:29,3029.716,M St & Delaware Ave NE,19th & L St NW,Subscriber
1749308,6/30/2017 10:28,6/30/2017 10:36,456.666,Columbus Circle / Union Station,1st & M St NE,Subscriber
1750460,6/30/2017 11:49,6/30/2017 12:24,2111.592,8th & H St NW,L'Enfant Plaza / 7th & C St SW,Customer
1750368,6/30/2017 11:43,6/30/2017 11:45,117.81,14th & Rhode Island Ave NW,14th & Rhode Island Ave NW,Subscriber
1750865,6/30/2017 12:13,6/30/2017 12:19,344.059,Crystal City Metro / 18th & Bell St,Pentagon City Metro / 12th & S Hayes St,Subscriber
1748967,6/30/2017 10:06,6/30/2017 10:30,1409.087,14th & R St NW,Maine Ave & 7th St SW,Subscriber
1751253,6/30/2017 12:45,6/30/2017 1:16,1817.93,Jefferson Memorial,Jefferson Dr & 14th St SW,Customer
1750762,6/30/2017 12:07,6/30/2017 12:15,487.107,Pentagon City Metro / 12th & S Hayes St,20th & Crystal Dr,Subscriber
1749363,6/30/2017 10:32,6/30/2017 11:01,1758.49,9th & Upshur St NW,7th & R St NW / Shaw Library,Subscriber
1749042,6/30/2017 10:11,6/30/2017 10:16,316.263,Columbia Pike & S Courthouse Rd,Columbia Pike & S Orme St,Subscriber
1748831,6/30/2017 9:58,6/30/2017 10:06,482.301,10th & K St NW,19th & K St NW,Subscriber
1750592,6/30/2017 11:57,6/30/2017 12:12,913.532,L'Enfant Plaza / 7th & C St SW,3rd & H St NE,Subscriber
1750258,6/30/2017 11:34,6/30/2017 11:43,537.43,11th & Girard St NW,15th & P St NW,Subscriber
1750960,6/30/2017 12:20,6/30/2017 12:24,199.573,14th & Harvard St NW,15th & Euclid St  NW,Subscriber
1750737,6/30/2017 12:05,6/30/2017 12:12,386.578,New Hampshire Ave & T St NW,17th & K St NW,Subscriber
1750488,6/30/2017 11:51,6/30/2017 11:53,134.534,5th St & Massachusetts Ave NW,5th & F St NW,Subscriber
1750171,6/30/2017 11:28,6/30/2017 11:40,696.771,27th & Crystal Dr,Eads & 22nd St S,Customer
1751153,6/30/2017 12:37,6/30/2017 12:46,553.841,14th & Belmont St NW,14th St Heights / 14th & Crittenden St NW,Subscriber
1749510,6/30/2017 10:41,6/30/2017 10:59,1037.568,Kennedy Center,Jefferson Dr & 14th St SW,Subscriber
1750599,6/30/2017 11:57,6/30/2017 11:59,97.258,23rd & Crystal Dr,20th & Crystal Dr,Subscriber
1750691,6/30/2017 12:02,6/30/2017 12:08,330.992,18th St & Pennsylvania Ave NW,M St & Pennsylvania Ave NW,Subscriber
1750004,6/30/2017 11:17,6/30/2017 11:26,538.455,Smithsonian-National Mall / Jefferson Dr & 12th St SW,15th St & Constitution Ave NW,Customer
1749142,6/30/2017 10:18,6/30/2017 10:40,1300.627,1st & M St NE,Bladensburg Rd & Benning Rd NE,Subscriber
1750058,6/30/2017 11:20,6/30/2017 11:33,795.321,14th St & Spring Rd NW,14th & Belmont St NW,Customer
1749239,6/30/2017 10:24,6/30/2017 10:43,1127.075,Eastern Market / 7th & North Carolina Ave SE,14th & D St NW / Ronald Reagan Building,Subscriber
1751300,6/30/2017 12:48,6/30/2017 1:11,1369.732,13th & H St NE,4th & C St SW,Subscriber
1749120,6/30/2017 10:17,6/30/2017 10:32,894.357,3rd & H St NE,New York Ave & Hecht Ave NE,Subscriber
1750391,6/30/2017 11:44,6/30/2017 11:49,275.505,17th St & Massachusetts Ave NW,New Hampshire Ave & T St NW,Subscriber
1748832,6/30/2017 9:58,6/30/2017 10:02,226.424,US Dept of State / Virginia Ave & 21st St NW,21st St & Constitution Ave NW,Customer
1750832,6/30/2017 12:12,6/30/2017 12:27,939.794,Ballston Metro / N Stuart & 9th St N,Wilson Blvd & N Illinois St ,Subscriber
1748925,6/30/2017 10:04,6/30/2017 10:21,1051.514,15th & F St NE,1st & M St NE,Customer
1749818,6/30/2017 11:03,6/30/2017 11:15,698.179,Potomac Ave & 8th St SE,L'Enfant Plaza / 7th & C St SW,Subscriber
1749589,6/30/2017 10:47,6/30/2017 10:55,490.879,Connecticut Ave & R St NW,15th & M St NW,Subscriber
1748888,6/30/2017 10:01,6/30/2017 10:22,1271.945,15th & P St NW,14th & V St NW,Subscriber
1750271,6/30/2017 11:35,6/30/2017 11:49,800.744,15th St & Constitution Ave NW,Hains Point/Buckeye & Ohio Dr SW,Subscriber
1750313,6/30/2017 11:39,6/30/2017 11:43,235.484,S Joyce & Army Navy Dr,Aurora Hills Community Ctr/18th & Hayes St,Subscriber
1750620,6/30/2017 11:58,6/30/2017 12:22,1467.213,Connecticut Ave & Newark St NW / Cleveland Park,20th St & Virginia Ave NW,Customer
1748906,6/30/2017 10:03,6/30/2017 10:14,653.236,Virginia Ave & 25th St NW,17th & K St NW / Farragut Square,Subscriber
1750531,6/30/2017 11:53,7/1/2017 12:03,607.138,14th & Rhode Island Ave NW,1st & Rhode Island Ave NW,Subscriber
1749200,6/30/2017 10:22,6/30/2017 11:31,4111.213,Bethesda Ave & Arlington Rd,Clarendon Blvd & Pierce St,Customer
1749934,6/30/2017 11:11,6/30/2017 11:41,1778.862,Adams Mill & Columbia Rd NW,14th & R St NW,Subscriber
1751446,6/30/2017 12:59,6/30/2017 1:22,1374.646,7th & T St NW,39th & Calvert St NW / Stoddert,Subscriber
1749470,6/30/2017 10:39,6/30/2017 11:02,1339.693,34th St & Wisconsin Ave NW,8th & F St NW,Customer
1749481,6/30/2017 10:40,6/30/2017 10:45,294.89,15th & Euclid St  NW,14th & Irving St NW,Subscriber
1749837,6/30/2017 11:05,6/30/2017 11:38,1954.027,4th & M St SW,Columbia Rd & Belmont St NW,Customer
1749092,6/30/2017 10:14,6/30/2017 10:30,932.825,Lincoln Memorial,N Lynn St & Fairfax Dr,Subscriber
1748857,6/30/2017 9:59,6/30/2017 10:13,819.323,2nd St & Massachusetts Ave NE,4th St & Madison Dr NW,Customer
1749161,6/30/2017 10:19,6/30/2017 10:30,652.598,Georgia & New Hampshire Ave NW,14th & V St NW,Subscriber
1749551,6/30/2017 10:44,6/30/2017 10:52,480.641,North Capitol St & F St NW,5th & K St NW,Subscriber
1749221,6/30/2017 10:23,6/30/2017 10:37,857.848,17th & K St NW / Farragut Square,14th & V St NW,Customer
1750938,6/30/2017 12:19,6/30/2017 12:42,1403.011,S Glebe & Potomac Ave,Jefferson Dr & 14th St SW,Subscriber
1751078,6/30/2017 12:30,6/30/2017 12:45,917.01,18th St & Wyoming Ave NW,3000 Connecticut Ave NW / National Zoo,Customer
1748839,6/30/2017 9:58,6/30/2017 10:19,1255.484,22nd & P ST NW,N Veitch & Key Blvd,Subscriber
1749214,6/30/2017 10:23,6/30/2017 10:38,944.404,1st & D St SE,1st & M St NE,Subscriber
1749632,6/30/2017 10:50,6/30/2017 11:03,777.491,21st & M St NW,Henry Bacon Dr & Lincoln Memorial Circle NW,Customer
1750276,6/30/2017 11:36,6/30/2017 11:47,657.857,Iwo Jima Memorial/N Meade & 14th St N,22nd St & Constitution Ave NW,Subscriber
1749726,6/30/2017 10:57,6/30/2017 11:50,3212.096,River Rd & Landy Ln,31st & Water St NW,Customer
1749573,6/30/2017 10:45,6/30/2017 11:14,1721.529,14th St & New York Ave NW,Henry Bacon Dr & Lincoln Memorial Circle NW,Customer
1749389,6/30/2017 10:34,6/30/2017 10:55,1241.111,8th & F St NW,4th St & Madison Dr NW,Customer
1749567,6/30/2017 10:45,6/30/2017 11:08,1375.289,3rd St & Pennsylvania Ave SE,Georgetown Harbor / 30th St NW,Subscriber
1750557,6/30/2017 11:55,6/30/2017 12:30,2117.146,19th St & Constitution Ave NW,Iwo Jima Memorial/N Meade & 14th St N,Customer
1750502,6/30/2017 11:52,6/30/2017 12:22,1850.444,8th & H St NW,4th St & Madison Dr NW,Customer
1749263,6/30/2017 10:26,6/30/2017 10:32,403.276,18th St & Wyoming Ave NW,16th & R St NW,Customer
1749226,6/30/2017 10:23,6/30/2017 10:34,626.105,14th & R St NW,14th & Irving St NW,Subscriber
1749503,6/30/2017 10:41,6/30/2017 11:45,3841.084,17th St & Independence Ave SW,18th St & Pennsylvania Ave NW,Customer
1751141,6/30/2017 12:35,6/30/2017 1:28,3167.193,Lincoln Memorial,Jefferson Dr & 14th St SW,Customer
1748808,6/30/2017 9:56,6/30/2017 10:04,424.92,14th & G St NW,11th & O St NW,Subscriber
1750062,6/30/2017 11:20,6/30/2017 11:26,309.996,7th & R St NW / Shaw Library,16th & R St NW,Subscriber
1749198,6/30/2017 10:22,6/30/2017 10:44,1301.328,Constitution Ave & 2nd St NW/DOL,17th & G St NW,Customer
1751229,6/30/2017 12:44,6/30/2017 1:08,1445.484,3rd & D St SE,M St & Pennsylvania Ave NW,Subscriber
1751094,6/30/2017 12:31,6/30/2017 12:39,468.257,14th & V St NW,10th & K St NW,Subscriber
1750833,6/30/2017 12:12,6/30/2017 12:23,678.892,18th St & Wyoming Ave NW,16th & Harvard St NW,Customer
1749537,6/30/2017 10:43,6/30/2017 10:44,73.917,Columbus Circle / Union Station,Columbus Circle / Union Station,Customer
1751334,6/30/2017 12:51,6/30/2017 1:14,1360.835,17th St & Independence Ave SW,Henry Bacon Dr & Lincoln Memorial Circle NW,Customer
1751283,6/30/2017 12:47,6/30/2017 1:05,1062.286,14th & D St NW / Ronald Reagan Building,Calvert St & Woodley Pl NW,Subscriber
1751318,6/30/2017 12:49,6/30/2017 1:18,1699.113,Lincoln Memorial,S Joyce & Army Navy Dr,Subscriber
1750299,6/30/2017 11:38,6/30/2017 12:04,1556.628,Jefferson Memorial,Lincoln Memorial,Customer
1749530,6/30/2017 10:43,6/30/2017 11:01,1084.631,5th St & Massachusetts Ave NW,14th & D St SE,Subscriber
1748872,6/30/2017 10:00,6/30/2017 10:13,745.637,14th & Girard St NW,13th St & New York Ave NW,Subscriber
1750779,6/30/2017 12:08,6/30/2017 12:25,993.658,37th & O St NW / Georgetown University,15th & P St NW,Subscriber
1750914,6/30/2017 12:17,6/30/2017 1:12,3267.989,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW,Customer
1750539,6/30/2017 11:54,6/30/2017 11:59,306.58,5th St & Massachusetts Ave NW,13th St & New York Ave NW,Subscriber
1750852,6/30/2017 12:13,6/30/2017 12:16,197.83,Georgia & New Hampshire Ave NW,Park Rd & Holmead Pl NW,Subscriber
1749081,6/30/2017 10:14,6/30/2017 10:26,762.538,6th St & Indiana Ave NW,10th & G St NW,Subscriber
1751118,6/30/2017 12:34,6/30/2017 1:02,1703.06,Henry Bacon Dr & Lincoln Memorial Circle NW,34th & Water St NW,Customer
1749549,6/30/2017 10:44,6/30/2017 11:00,930.116,Virginia Ave & 25th St NW,14th & G St NW,Subscriber
1749441,6/30/2017 10:38,6/30/2017 10:46,476.657,4th & E St SW,4th St & Madison Dr NW,Subscriber
1750707,6/30/2017 12:03,6/30/2017 12:30,1639.823,Columbus Circle / Union Station,L'Enfant Plaza / 7th & C St SW,Customer
1751175,6/30/2017 12:39,6/30/2017 12:42,182.726,12th St & Pennsylvania Ave SE,14th & D St SE,Subscriber
1750555,6/30/2017 11:55,6/30/2017 12:00,296.918,5th & F St NW,11th & F St NW,Subscriber
1750866,6/30/2017 12:13,6/30/2017 12:40,1592.406,24th & N St NW,Maine Ave & 7th St SW,Subscriber
1749994,6/30/2017 11:17,6/30/2017 11:23,406.983,13th & H St NE,3rd & H St NE,Subscriber
1748648,6/30/2017 9:47,6/30/2017 9:53,403.124,10th & U St NW,14th & Rhode Island Ave NW,Subscriber
1750476,6/30/2017 11:50,6/30/2017 12:00,647.312,14th & D St NW / Ronald Reagan Building,14th & R St NW,Subscriber
1749357,6/30/2017 10:32,6/30/2017 10:53,1304.5,Georgia & Missouri Ave NW,3rd St & Riggs Rd NE,Customer
1749426,6/30/2017 10:37,6/30/2017 10:54,1006.598,Braddock Rd Metro,Mount Vernon Ave & Kennedy St,Customer
1749986,6/30/2017 11:16,6/30/2017 11:17,101.016,2nd & G St NE,Columbus Circle / Union Station,Subscriber
1750800,6/30/2017 12:10,6/30/2017 12:16,399.586,Potomac & Swann Ave,S Glebe & Potomac Ave,Customer
1750598,6/30/2017 11:57,6/30/2017 1:02,3886.657,22nd St & Constitution Ave NW,4th & East Capitol St NE,Customer
1749814,6/30/2017 11:03,6/30/2017 11:12,536.8,14th & R St NW,1st & Rhode Island Ave NW,Subscriber
1748938,6/30/2017 10:04,6/30/2017 10:07,152.694,Washington-Lee High School / N Stafford St & Generals Way,Utah St & 11th St N ,Subscriber
1750310,6/30/2017 11:39,7/1/2017 12:06,1669.25,11th & M St NW,Henry Bacon Dr & Lincoln Memorial Circle NW,Customer
1750624,6/30/2017 11:58,6/30/2017 12:20,1330.248,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW,Customer
1750867,6/30/2017 12:13,6/30/2017 12:24,610.81,Saint Asaph St & Pendleton  St,Monroe Ave & Leslie Ave,Subscriber
1749275,6/30/2017 10:26,6/30/2017 12:22,6951.559,Lincoln Memorial,17th & G St NW,Customer
1749050,6/30/2017 10:11,6/30/2017 10:20,547.885,Columbus Circle / Union Station,13th & H St NE,Subscriber
1749652,6/30/2017 10:52,6/30/2017 11:03,645.942,Lynn & 19th St North,34th St & Wisconsin Ave NW,Subscriber
1750081,6/30/2017 11:22,7/1/2017 12:52,5403.541,Lincoln Memorial,4th & C St SW,Customer
1748771,6/30/2017 9:54,6/30/2017 10:08,844.613,Mount Vernon Ave & Four Mile Run Park,Potomac & Swann Ave,Customer
1748882,6/30/2017 10:01,6/30/2017 10:05,279.084,3rd St & Pennsylvania Ave SE,2nd St & Massachusetts Ave NE,Subscriber
1750803,6/30/2017 12:10,6/30/2017 12:16,358.454,Massachusetts Ave & Dupont Circle NW,24th & N St NW,Subscriber
1750444,6/30/2017 11:48,6/30/2017 12:04,1002.505,Connecticut Ave & R St NW,8th & H St NW,Subscriber
1751418,6/30/2017 12:57,6/30/2017 1:18,1259.92,18th & R St NW,Lynn & 19th St North,Subscriber
1750580,6/30/2017 11:56,6/30/2017 12:00,245.161,Henry St & Pendleton St,King St & Patrick St,Subscriber
