,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
1549216,6/30/2017 19:22,6/30/2017 19:25,208,Damen Ave & Division St,Damen Ave & Division St,Subscriber,Male,1983
1550355,6/30/2017 21:05,6/30/2017 21:16,607,Morgan St & Lake St,Orleans St & Ohio St,Customer,,
1549699,6/30/2017 20:02,6/30/2017 20:49,2850,Michigan Ave & 8th St,McClurg Ct & Illinois St,Customer,,
1550320,6/30/2017 21:02,6/30/2017 21:47,2669,Wabash Ave & Adams St,Wabash Ave & Adams St,Customer,,
1549756,6/30/2017 20:07,6/30/2017 20:31,1452,Dayton St & North Ave,Lake Shore Dr & Ohio St,Subscriber,Male,1989
1550190,6/30/2017 20:48,6/30/2017 20:51,210,Broadway & Waveland Ave,Pine Grove Ave & Irving Park Rd,Subscriber,Male,1983
1550491,6/30/2017 21:21,6/30/2017 21:44,1354,Michigan Ave & Madison St,Shedd Aquarium,Customer,,
1551187,6/30/2017 23:01,6/30/2017 23:09,454,Bissell St & Armitage Ave,Clark St & Lincoln Ave,Subscriber,Male,1987
1549747,6/30/2017 20:06,6/30/2017 20:16,595,Clinton St & Lake St,Millennium Park,Customer,,
1549120,6/30/2017 19:14,6/30/2017 19:27,796,Calumet Ave & 21st St,Halsted St & 21st St,Subscriber,Male,1985
1549830,6/30/2017 20:12,6/30/2017 20:24,672,Damen Ave & Leland Ave,Clark St & Berwyn Ave,Subscriber,Female,1988
1551291,6/30/2017 23:19,6/30/2017 23:26,466,Clinton St & Washington Blvd,Kingsbury St & Kinzie St,Subscriber,Male,1978
1550354,6/30/2017 21:05,6/30/2017 21:22,1014,Racine Ave & Belmont Ave,Racine Ave & Belmont Ave,Subscriber,Male,1992
1550138,6/30/2017 20:41,6/30/2017 21:02,1206,Clark St & Columbia Ave,Broadway & Wilson Ave,Subscriber,Male,1993
1549149,6/30/2017 19:16,6/30/2017 19:31,924,Streeter Dr & Grand Ave,Lakeview Ave & Fullerton Pkwy,Subscriber,Male,1991
1550566,6/30/2017 21:30,6/30/2017 21:40,603,Dayton St & North Ave,Wood St & Milwaukee Ave,Subscriber,Female,1989
1549091,6/30/2017 19:12,6/30/2017 19:13,107,Wolcott Ave & Polk St,Hermitage Ave & Polk St,Subscriber,Female,1989
1548962,6/30/2017 19:04,6/30/2017 19:13,516,Paulina St & Howard St,Chicago Ave & Washington St,Subscriber,Female,1965
1549910,6/30/2017 20:20,6/30/2017 20:29,565,Clark St & Armitage Ave,Theater on the Lake,Customer,,
1551134,6/30/2017 22:54,7/1/2017 0:08,4410,Sheffield Ave & Waveland Ave,St. Clair St & Erie St,Customer,,
1550169,6/30/2017 20:45,6/30/2017 20:56,645,Millennium Park,Michigan Ave & 8th St,Customer,,
1549992,6/30/2017 20:27,6/30/2017 20:38,640,Rush St & Hubbard St,LaSalle St & Jackson Blvd,Subscriber,Male,1993
1551165,6/30/2017 22:58,6/30/2017 23:35,2246,Sheffield Ave & Waveland Ave,Clark St & Lincoln Ave,Customer,,
1550651,6/30/2017 21:39,6/30/2017 21:47,484,Ashland Ave & Grace St,Sheridan Rd & Buena Ave,Subscriber,Female,1968
1549592,6/30/2017 19:51,6/30/2017 20:02,665,McClurg Ct & Illinois St,Kingsbury St & Erie St,Subscriber,Male,1992
1548974,6/30/2017 19:05,6/30/2017 19:17,743,Bosworth Ave & Howard St,Sheridan Rd & Loyola Ave,Subscriber,Female,1983
1549636,6/30/2017 19:56,6/30/2017 20:14,1130,Wells St & Evergreen Ave,Greenview Ave & Fullerton Ave,Subscriber,Female,1987
1549736,6/30/2017 20:05,6/30/2017 20:21,1001,Daley Center Plaza,Loomis St & Taylor St (*),Subscriber,Male,1984
1550266,6/30/2017 20:55,6/30/2017 21:00,272,Damen Ave & Cortland St,Paulina Ave & North Ave,Subscriber,Male,1982
1549399,6/30/2017 19:36,6/30/2017 19:44,472,Ogden Ave & Race Ave,Orleans St & Ohio St,Subscriber,Female,1989
1550202,6/30/2017 20:49,6/30/2017 21:02,752,Wabash Ave & Roosevelt Rd,Clark St & 9th St (AMLI),Customer,,
1550008,6/30/2017 20:29,6/30/2017 20:39,605,Broadway & Thorndale Ave,Clark St & Berwyn Ave,Subscriber,Male,1972
1550666,6/30/2017 21:40,6/30/2017 21:51,667,Bissell St & Armitage Ave,Clark St & Wrightwood Ave,Subscriber,Male,1989
1549614,6/30/2017 19:53,6/30/2017 20:16,1365,Burnham Harbor,Lake Shore Dr & Monroe St,Customer,,
1550030,6/30/2017 20:31,6/30/2017 20:40,569,Wolcott Ave & Polk St,Loomis St & Lexington St,Subscriber,Male,1992
1550873,6/30/2017 22:12,6/30/2017 22:23,640,Aberdeen St & Jackson Blvd,Halsted St & Maxwell St,Customer,,
1551123,6/30/2017 22:53,6/30/2017 23:18,1522,Racine Ave & Randolph St,Halsted St & Roscoe St,Subscriber,Male,1989
1549564,6/30/2017 19:49,6/30/2017 20:03,854,Clarendon Ave & Junior Ter,Clark St & Wellington Ave,Subscriber,Male,1990
1551041,6/30/2017 22:37,6/30/2017 22:52,892,Southport Ave & Waveland Ave,California Ave & Byron St,Subscriber,Male,1991
1550357,6/30/2017 21:06,6/30/2017 21:41,2125,Damen Ave & Pierce Ave,California Ave & North Ave,Subscriber,Female,1977
1549173,6/30/2017 19:18,6/30/2017 19:27,537,Clark St & Armitage Ave,Clifton Ave & Armitage Ave,Subscriber,Male,1992
1550112,6/30/2017 20:38,6/30/2017 20:45,436,Montrose Harbor,Clarendon Ave & Leland Ave,Subscriber,Male,1993
1549922,6/30/2017 20:21,6/30/2017 20:34,751,Sheffield Ave & Wrightwood Ave,Lincoln Ave & Belmont Ave,Customer,,
1550542,6/30/2017 21:27,6/30/2017 21:58,1864,Michigan Ave & 8th St,Field Museum,Customer,,
1550967,6/30/2017 22:25,6/30/2017 22:37,711,Racine Ave & Belmont Ave,Ashland Ave & Belle Plaine Ave,Subscriber,Male,1989
1549189,6/30/2017 19:19,6/30/2017 19:46,1587,Ashland Ave & Augusta Blvd,Mies van der Rohe Way & Chestnut St,Subscriber,Female,1986
1549804,6/30/2017 20:10,6/30/2017 20:22,705,Dearborn St & Erie St,Ritchie Ct & Banks St,Subscriber,Male,1988
1551167,6/30/2017 22:58,6/30/2017 23:19,1298,Millard Ave & 26th St,Ogden Ave & Roosevelt Rd,Customer,,
1551272,6/30/2017 23:14,6/30/2017 23:46,1889,Theater on the Lake,Streeter Dr & Grand Ave,Customer,,
1550718,6/30/2017 21:48,6/30/2017 21:54,381,Clinton St & 18th St,Clinton St & Roosevelt Rd,Subscriber,Male,1982
1550744,6/30/2017 21:52,6/30/2017 22:15,1420,Wabash Ave & Wacker Pl,McCormick Place,Customer,,
1551334,6/30/2017 23:27,6/30/2017 23:41,845,Clarendon Ave & Junior Ter,Southport Ave & Clark St,Customer,,
1551159,6/30/2017 22:57,6/30/2017 23:07,558,California Ave & 21st St,California Ave & 21st St,Subscriber,Female,1983
1548870,6/30/2017 18:58,6/30/2017 19:34,2165,Burnham Harbor,Burnham Harbor,Customer,,
1549203,6/30/2017 19:21,6/30/2017 19:24,228,Halsted St & Blackhawk St (*),Sheffield Ave & Willow St,Subscriber,Male,1976
1550918,6/30/2017 22:18,6/30/2017 22:25,377,Clark St & Randolph St,Cityfront Plaza Dr & Pioneer Ct,Subscriber,Male,1984
1549477,6/30/2017 19:42,6/30/2017 19:54,722,Wells St & Evergreen Ave,Clifton Ave & Armitage Ave,Subscriber,Male,1990
1551296,6/30/2017 23:20,6/30/2017 23:33,771,Clark St & Chicago Ave,Federal St & Polk St,Subscriber,Male,1990
1549903,6/30/2017 20:19,6/30/2017 20:23,244,Sheffield Ave & Fullerton Ave,Greenview Ave & Fullerton Ave,Subscriber,Male,1988
1550971,6/30/2017 22:26,6/30/2017 22:29,172,LaSalle St & Jackson Blvd,Franklin St & Jackson Blvd,Subscriber,Male,1974
1551112,6/30/2017 22:50,6/30/2017 23:06,947,Sheffield Ave & Waveland Ave,Greenview Ave & Diversey Pkwy,Subscriber,Male,1967
1549381,6/30/2017 19:35,6/30/2017 19:56,1233,Franklin St & Lake St,Field Blvd & South Water St,Subscriber,Male,1959
1550462,6/30/2017 21:17,6/30/2017 21:33,969,Clark St & Berwyn Ave,Greenview Ave & Jarvis Ave,Subscriber,Male,1968
1550372,6/30/2017 21:07,6/30/2017 21:17,604,Wells St & Concord Ln,Hampden Ct & Diversey Pkwy,Subscriber,Male,1967
1549069,6/30/2017 19:10,6/30/2017 19:31,1232,Dusable Harbor,Dusable Harbor,Customer,,
1551089,6/30/2017 22:47,6/30/2017 22:53,337,Cottage Grove Ave & Oakwood Blvd,MLK Jr Dr & Oakwood Blvd,Customer,,
1550916,6/30/2017 22:17,6/30/2017 22:24,403,LaSalle St & Jackson Blvd,Peoria St & Jackson Blvd,Subscriber,Male,1981
1548927,6/30/2017 19:02,6/30/2017 19:16,855,Wabash Ave & 8th St,Streeter Dr & Grand Ave,Subscriber,Male,1991
1549950,6/30/2017 20:24,6/30/2017 20:27,213,Clark St & Berwyn Ave,Broadway & Berwyn Ave,Subscriber,Female,1982
1549400,6/30/2017 19:36,6/30/2017 19:49,745,Lincoln Ave & Diversey Pkwy,Sheffield Ave & Kingsbury St,Subscriber,Female,1990
1550486,6/30/2017 21:21,6/30/2017 21:31,643,Halsted St & Maxwell St,Peoria St & Jackson Blvd,Subscriber,Female,1986
1551059,6/30/2017 22:40,6/30/2017 22:47,402,Ogden Ave & Roosevelt Rd,Wood St & Taylor St,Subscriber,Male,1993
1549186,6/30/2017 19:19,6/30/2017 19:34,868,Clark St & Elm St,Bissell St & Armitage Ave,Subscriber,Female,1992
1549894,6/30/2017 20:19,6/30/2017 20:47,1696,California Ave & Division St,California Ave & Division St,Customer,,
1551098,6/30/2017 22:49,6/30/2017 23:08,1129,Halsted St & Diversey Pkwy,Wilton Ave & Diversey Pkwy,Customer,,
1550089,6/30/2017 20:36,6/30/2017 20:39,172,Racine Ave & Belmont Ave,Racine Ave & Belmont Ave,Customer,,
1550213,6/30/2017 20:51,6/30/2017 21:03,729,Streeter Dr & Grand Ave,Lake Shore Dr & Monroe St,Customer,,
1550583,6/30/2017 21:32,6/30/2017 21:35,187,Halsted St & Maxwell St,Morgan Ave & 14th Pl,Subscriber,Male,1982
1551068,6/30/2017 22:42,6/30/2017 22:53,677,Wells St & Walton St,Orleans St & Merchandise Mart Plaza,Customer,,
1550383,6/30/2017 21:08,6/30/2017 21:37,1770,Michigan Ave & 8th St,Columbus Dr & Randolph St,Customer,,
1550815,6/30/2017 22:03,6/30/2017 22:19,964,Wentworth Ave & Archer Ave,LaSalle St & Washington St,Subscriber,Male,1987
1550766,6/30/2017 21:55,6/30/2017 22:07,680,Larrabee St & Division St,Ashland Ave & Division St,Subscriber,Male,1988
1551073,6/30/2017 22:43,6/30/2017 22:54,645,Wells St & Walton St,Orleans St & Merchandise Mart Plaza,Customer,,
1549902,6/30/2017 20:19,6/30/2017 20:25,365,Morgan St & Lake St,Clinton St & Washington Blvd,Subscriber,Male,1966
1550741,6/30/2017 21:51,6/30/2017 21:59,468,Michigan Ave & Madison St,Wabash Ave & Wacker Pl,Customer,,
1548985,6/30/2017 19:06,6/30/2017 19:16,599,University Ave & 57th St,Lake Park Ave & 53rd St,Subscriber,Male,1989
1549242,6/30/2017 19:24,6/30/2017 19:48,1490,Burnham Harbor,Cottage Grove Ave & Oakwood Blvd,Customer,,
1551216,6/30/2017 23:05,6/30/2017 23:15,637,California Ave & Byron St,Sawyer Ave & Irving Park Rd,Subscriber,Female,1986
1550853,6/30/2017 22:10,6/30/2017 22:23,789,Aberdeen St & Jackson Blvd,Halsted St & Maxwell St,Customer,,
1551000,6/30/2017 22:32,6/30/2017 22:45,811,State St & 33rd St,Shields Ave & 31st St,Subscriber,Male,1993
1550617,6/30/2017 21:35,6/30/2017 21:53,1120,Hampden Ct & Diversey Pkwy,Ritchie Ct & Banks St,Subscriber,Male,1987
1549204,6/30/2017 19:21,6/30/2017 19:33,724,Michigan Ave & Lake St,Desplaines St & Kinzie St,Subscriber,Male,1993
1551056,6/30/2017 22:39,6/30/2017 22:56,1017,Sheffield Ave & Waveland Ave,Sheffield Ave & Webster Ave,Subscriber,Female,1991
1550841,6/30/2017 22:08,6/30/2017 22:13,319,Peoria St & Jackson Blvd,Clinton St & Madison St,Subscriber,Male,1984
1550173,6/30/2017 20:46,6/30/2017 20:54,508,Ashland Ave & Harrison St,Western Ave & Congress Pkwy,Subscriber,Male,1974
1549241,6/30/2017 19:23,6/30/2017 19:57,2007,Damen Ave & Division St,Halsted St & 18th St,Subscriber,Female,1986
1551136,6/30/2017 22:54,6/30/2017 23:04,593,LaSalle St & Illinois St,Orleans St & Ohio St,Subscriber,Male,1987
1549601,6/30/2017 19:52,6/30/2017 21:21,5354,Damen Ave & 59th St,Damen Ave & 59th St,Customer,,
1549598,6/30/2017 19:51,6/30/2017 20:17,1512,Southport Ave & Roscoe St,Clark St & Lincoln Ave,Subscriber,Male,1962
1549993,6/30/2017 20:28,6/30/2017 20:34,349,Ogden Ave & Roosevelt Rd,Wolcott Ave & Polk St,Subscriber,Male,1992
1550334,6/30/2017 21:04,6/30/2017 21:12,487,Columbus Dr & Randolph St,Clark St & Randolph St,Subscriber,Male,1985
1549101,6/30/2017 19:12,6/30/2017 19:32,1172,Dearborn St & Monroe St,Field Blvd & South Water St,Subscriber,Male,1963
1549866,6/30/2017 20:16,6/30/2017 20:34,1086,Morgan St & Lake St,Wells St & Concord Ln,Subscriber,Male,1963
1549138,6/30/2017 19:15,6/30/2017 19:20,319,Kedzie Ave & Palmer Ct,Kedzie Ave & Milwaukee Ave,Subscriber,Female,1985
1550715,6/30/2017 21:48,6/30/2017 21:56,529,Dayton St & North Ave,Clybourn Ave & Division St,Customer,,
1551341,6/30/2017 23:28,6/30/2017 23:50,1339,Orleans St & Merchandise Mart Plaza,Green St & Randolph St,Customer,,
1550979,6/30/2017 22:28,6/30/2017 22:55,1634,Ashland Ave & Blackhawk St,Broadway & Barry Ave,Subscriber,Male,1982
1549422,6/30/2017 19:38,6/30/2017 19:46,471,Mies van der Rohe Way & Chestnut St,LaSalle St & Illinois St,Subscriber,Male,1986
1550530,6/30/2017 21:25,6/30/2017 21:34,556,St. Clair St & Erie St,McClurg Ct & Illinois St,Customer,,
1549738,6/30/2017 20:05,6/30/2017 20:13,501,Drake Ave & Fullerton Ave,Central Park Ave & Elbridge Ave,Subscriber,Male,1992
1550361,6/30/2017 21:06,6/30/2017 22:20,4466,Jeffery Blvd & 76th St,Jeffery Blvd & 76th St,Customer,,
1550650,6/30/2017 21:39,6/30/2017 23:33,6866,Michigan Ave & Pearson St,Indiana Ave & Roosevelt Rd,Customer,,
1551449,6/30/2017 23:49,6/30/2017 23:55,365,Lincoln Ave & Addison St,Southport Ave & Wellington Ave,Subscriber,Male,1990
1549964,6/30/2017 20:25,6/30/2017 20:47,1320,Streeter Dr & Grand Ave,Lake Shore Dr & Diversey Pkwy,Subscriber,Female,1985
1551236,6/30/2017 23:09,6/30/2017 23:17,510,Green St & Madison St,Michigan Ave & Washington St,Subscriber,Male,1985
1551122,6/30/2017 22:52,6/30/2017 23:02,560,Shore Dr & 55th St,Shore Dr & 55th St,Subscriber,Male,1990
1551050,6/30/2017 22:38,6/30/2017 22:59,1244,Ritchie Ct & Banks St,Broadway & Cornelia Ave,Subscriber,Male,1984
1549870,6/30/2017 20:16,6/30/2017 20:36,1209,Dayton St & North Ave,Claremont Ave & Hirsch St,Subscriber,Male,1988
1551141,6/30/2017 22:55,6/30/2017 23:21,1521,Broadway & Waveland Ave,Larrabee St & Menomonee St,Subscriber,Male,1990
1549879,6/30/2017 20:17,6/30/2017 20:24,447,Lake Shore Dr & Monroe St,Millennium Park,Customer,,
1548981,6/30/2017 19:05,6/30/2017 19:08,177,Sheffield Ave & Fullerton Ave,Greenview Ave & Fullerton Ave,Subscriber,Male,1994
1549098,6/30/2017 19:12,6/30/2017 19:15,185,Kingsbury St & Erie St,Larrabee St & Kingsbury St,Subscriber,Male,1981
1550805,6/30/2017 22:02,6/30/2017 22:24,1315,Rush St & Cedar St,Dearborn St & Monroe St,Customer,,
1549394,6/30/2017 19:36,6/30/2017 19:41,310,Eckhart Park,Milwaukee Ave & Grand Ave,Subscriber,Male,1994
1549113,6/30/2017 19:14,6/30/2017 19:35,1294,Clark St & Wellington Ave,Broadway & Ridge Ave,Subscriber,Male,1991
1549739,6/30/2017 20:05,6/30/2017 20:24,1124,Michigan Ave & Washington St,Adler Planetarium,Customer,,
1549792,6/30/2017 20:09,6/30/2017 20:21,741,Broadway & Barry Ave,Broadway & Sheridan Rd,Subscriber,Male,1990
1549037,6/30/2017 19:09,6/30/2017 19:20,658,Lake Shore Dr & North Blvd,Lincoln Ave & Fullerton Ave,Subscriber,Male,1977
1550671,6/30/2017 21:41,6/30/2017 21:56,873,Wacker Dr & Washington St,Dearborn Pkwy & Delaware Pl,Subscriber,Male,1985
1550461,6/30/2017 21:17,6/30/2017 21:25,483,Clark St & Congress Pkwy,Canal St & Madison St,Subscriber,Male,1972
1550777,6/30/2017 21:58,6/30/2017 22:10,680,Franklin St & Chicago Ave,Sheffield Ave & Willow St,Subscriber,Male,1989
1550748,6/30/2017 21:53,6/30/2017 22:15,1290,Southport Ave & Roscoe St,Wells St & Concord Ln,Customer,,
1549202,6/30/2017 19:20,6/30/2017 19:27,400,Halsted St & Roscoe St,Racine Ave & Belmont Ave,Subscriber,Female,1992
1549544,6/30/2017 19:47,6/30/2017 20:06,1158,Clark St & Wrightwood Ave,State St & Kinzie St,Subscriber,Male,1989
1549071,6/30/2017 19:11,6/30/2017 19:14,225,State St & 33rd St,Calumet Ave & 33rd St,Subscriber,Male,1993
1551450,6/30/2017 23:49,6/30/2017 23:56,395,Sedgwick St & North Ave,Bissell St & Armitage Ave,Subscriber,Male,1992
1549082,6/30/2017 19:11,6/30/2017 19:20,492,Streeter Dr & Grand Ave,Michigan Ave & Oak St,Customer,,
1551209,6/30/2017 23:04,6/30/2017 23:29,1510,Wilton Ave & Belmont Ave,Kedzie Ave & Palmer Ct,Subscriber,Female,1987
1549096,6/30/2017 19:12,6/30/2017 19:19,423,Halsted St & Dickens Ave,Lincoln Ave & Diversey Pkwy,Subscriber,Male,1977
1549505,6/30/2017 19:44,6/30/2017 19:51,420,Halsted St & Diversey Pkwy,Halsted St & Roscoe St,Subscriber,Female,1969
1551176,6/30/2017 23:00,6/30/2017 23:09,553,Southport Ave & Waveland Ave,Clarendon Ave & Gordon Ter,Subscriber,Female,1994
1548903,6/30/2017 19:00,6/30/2017 19:30,1802,Streeter Dr & Grand Ave,Wells St & Evergreen Ave,Customer,,
1549357,6/30/2017 19:33,6/30/2017 19:56,1387,Streeter Dr & Grand Ave,Cannon Dr & Fullerton Ave,Customer,,
1549197,6/30/2017 19:20,6/30/2017 19:44,1443,Sheridan Rd & Noyes St (NU),Sheridan Rd & Greenleaf Ave,Subscriber,Male,1981
1550390,6/30/2017 21:09,6/30/2017 21:18,517,Lake Shore Dr & Wellington Ave,Clark St & Armitage Ave,Subscriber,Male,1986
1549996,6/30/2017 20:28,6/30/2017 20:36,481,Ashland Ave & 21st St,Western Ave & 21st St,Subscriber,Female,1986
1551428,6/30/2017 23:43,7/1/2017 0:01,1066,Southport Ave & Roscoe St,Lake Shore Dr & Belmont Ave,Customer,,
1550085,6/30/2017 20:36,6/30/2017 20:43,438,Pine Grove Ave & Waveland Ave,Southport Ave & Waveland Ave,Subscriber,Male,1993
1551206,6/30/2017 23:04,6/30/2017 23:26,1320,Halsted St & Maxwell St,Clinton St & Jackson Blvd,Subscriber,Male,1989
1550181,6/30/2017 20:47,6/30/2017 21:05,1077,Ritchie Ct & Banks St,Rush St & Cedar St,Subscriber,Male,1960
1551500,6/30/2017 23:59,7/1/2017 0:08,580,Damen Ave & Division St,Halsted St & Blackhawk St (*),Subscriber,Male,1990
1548978,6/30/2017 19:05,6/30/2017 19:12,437,McClurg Ct & Illinois St,Streeter Dr & Grand Ave,Customer,,
1551375,6/30/2017 23:34,6/30/2017 23:46,714,Michigan Ave & Washington St,Clinton St & Madison St,Subscriber,Male,1994
1550246,6/30/2017 20:54,6/30/2017 21:00,372,Fairbanks Ct & Grand Ave,State St & Randolph St,Subscriber,Male,1983
1549484,6/30/2017 19:43,6/30/2017 19:52,526,Kedzie Ave & Milwaukee Ave,Kosciuszko Park,Subscriber,Female,1964
1551463,6/30/2017 23:50,6/30/2017 23:55,259,Sheffield Ave & Fullerton Ave,Lincoln Ave & Diversey Pkwy,Subscriber,Female,1983
1551066,6/30/2017 22:42,6/30/2017 23:00,1108,Halsted St & Wrightwood Ave,Clark St & Schiller St,Customer,,
1551018,6/30/2017 22:33,6/30/2017 22:43,598,Racine Ave & Fullerton Ave,Wilton Ave & Belmont Ave,Subscriber,Male,1979
1549948,6/30/2017 20:23,6/30/2017 20:32,493,Montrose Harbor,Clarendon Ave & Leland Ave,Subscriber,Female,1995
1549931,6/30/2017 20:22,6/30/2017 20:27,289,Sedgwick St & North Ave,Clark St & Armitage Ave,Subscriber,Male,1986
1550778,6/30/2017 21:59,6/30/2017 22:14,917,Rush St & Hubbard St,Clinton St & Roosevelt Rd,Subscriber,Male,1979
1550070,6/30/2017 20:35,6/30/2017 20:55,1193,Wolcott Ave & Polk St,Wood St & Taylor St,Subscriber,Male,1993
1551260,6/30/2017 23:12,6/30/2017 23:34,1322,Milwaukee Ave & Grand Ave,Damen Ave & Division St,Customer,,
1550649,6/30/2017 21:39,7/1/2017 0:07,8876,Canal St & Monroe St (*),Canal St & Monroe St (*),Customer,,
1551156,6/30/2017 22:57,6/30/2017 23:03,373,Damen Ave & Augusta Blvd,Western Ave & Division St,Subscriber,Male,1983
1549446,6/30/2017 19:39,6/30/2017 19:51,714,Burnham Harbor,Lake Shore Dr & Monroe St,Subscriber,Male,1992
1549444,6/30/2017 19:39,6/30/2017 19:50,675,Jefferson St & Monroe St,Damen Ave & Madison St,Subscriber,Male,1992
1551286,6/30/2017 23:17,6/30/2017 23:21,232,Wells St & Huron St,Wells St & Elm St,Subscriber,Male,1980
1549337,6/30/2017 19:32,6/30/2017 20:12,2431,Michigan Ave & Oak St,Broadway & Belmont Ave,Subscriber,Female,1988
1550123,6/30/2017 20:39,6/30/2017 20:43,274,Halsted St & Polk St,Halsted St & Polk St,Subscriber,Male,1992
1551237,6/30/2017 23:09,6/30/2017 23:24,885,Wells St & Concord Ln,Desplaines St & Kinzie St,Subscriber,Male,1991
1550427,6/30/2017 21:13,6/30/2017 21:30,1052,Burnham Harbor,Lake Shore Dr & Ohio St,Subscriber,Male,1988
1550574,6/30/2017 21:31,6/30/2017 22:03,1924,Lincoln Ave & Belmont Ave,Troy St & Elston Ave,Customer,,
1551411,6/30/2017 23:40,6/30/2017 23:56,938,Wabash Ave & Wacker Pl,Wells St & Evergreen Ave,Customer,,
1550068,6/30/2017 20:35,6/30/2017 21:06,1909,Clark St & Winnemac Ave,Wells St & Concord Ln,Subscriber,Male,1986
1549112,6/30/2017 19:14,6/30/2017 19:24,627,Halsted St & Polk St,Green St & Madison St,Subscriber,Male,1993
1550496,6/30/2017 21:21,6/30/2017 21:36,913,Sheridan Rd & Loyola Ave,Bosworth Ave & Howard St,Subscriber,Male,1982
1551109,6/30/2017 22:50,6/30/2017 23:00,591,Broadway & Barry Ave,Clark St & Armitage Ave,Subscriber,Male,1995
1549961,6/30/2017 20:25,6/30/2017 20:38,824,Wilton Ave & Belmont Ave,Stockton Dr & Wrightwood Ave,Customer,,
1550348,6/30/2017 21:05,6/30/2017 21:13,501,Racine Ave & Belmont Ave,Sheffield Ave & Waveland Ave,Subscriber,Female,1980
1550947,6/30/2017 22:22,6/30/2017 22:45,1338,Michigan Ave & Oak St,Shedd Aquarium,Customer,,
1548990,6/30/2017 19:06,6/30/2017 19:13,420,Broadway & Barry Ave,Broadway & Cornelia Ave,Subscriber,Male,1985
1549079,6/30/2017 19:11,6/30/2017 19:23,739,Western Ave & Granville Ave,Western Ave & Leland Ave,Subscriber,Male,1987
1550072,6/30/2017 20:35,6/30/2017 20:38,225,Ashland Ave & Wellington Ave,Lincoln Ave & Roscoe St,Subscriber,Male,1974
1549139,6/30/2017 19:15,6/30/2017 19:32,1010,Field Museum,State St & Van Buren St,Customer,,
1550791,6/30/2017 22:00,6/30/2017 22:04,258,Ellis Ave & 53rd St,Ellis Ave & 55th St,Subscriber,Male,1996
1550556,6/30/2017 21:29,6/30/2017 21:50,1297,Rhodes Ave & 32nd St,Rhodes Ave & 32nd St,Subscriber,Male,1992
1549460,6/30/2017 19:41,6/30/2017 19:47,359,Michigan Ave & Jackson Blvd,Indiana Ave & Roosevelt Rd,Subscriber,Male,1992
1549675,6/30/2017 20:00,6/30/2017 20:03,201,Wabash Ave & Roosevelt Rd,Wabash Ave & 16th St,Subscriber,Female,1988
