,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
6807244,6/30/2017 19:11,6/30/2017 19:49,2234,E 9 St & Avenue C,E 88 St & 1 Ave,Subscriber,Female,1979
6808315,6/30/2017 19:29,6/30/2017 19:36,379,6 Ave & Canal St,West St & Chambers St,Subscriber,Male,1988
6804676,6/30/2017 18:33,6/30/2017 18:39,344,Carlton Ave & Flushing Ave,Cumberland St & Lafayette Ave,Subscriber,Male,1991
6805955,6/30/2017 18:52,6/30/2017 18:59,470,E 39 St & 2 Ave,1 Ave & E 62 St,Subscriber,Male,1992
6813261,6/30/2017 21:29,6/30/2017 21:35,397,48 Ave & 5 St,44 Dr & Jackson Ave,Subscriber,Male,1994
6814151,6/30/2017 22:04,6/30/2017 22:10,390,Little West St & 1 Pl,Murray St & West St,Subscriber,Male,1983
6814720,6/30/2017 22:27,6/30/2017 22:36,499,Grand Army Plaza & Plaza St West,10 St & 7 Ave,Subscriber,Male,1985
6805896,6/30/2017 18:51,6/30/2017 19:02,679,Great Jones St,Cherry St,Subscriber,Male,1974
6809558,6/30/2017 19:52,6/30/2017 20:00,467,Broadway & Whipple St,Myrtle Ave & Marcy Ave,Subscriber,Male,1986
6808741,6/30/2017 19:37,6/30/2017 19:45,491,Mercer St & Bleecker St,Lispenard St & Broadway,Subscriber,Male,1988
6813873,6/30/2017 21:52,6/30/2017 22:02,638,Grand St & Elizabeth St,Greenwich St & W Houston St,Subscriber,Male,1968
6808798,6/30/2017 19:38,6/30/2017 19:45,393,Vernon Blvd & 50 Ave,Greenpoint Ave & Manhattan Ave,Subscriber,Male,1982
6815274,6/30/2017 22:55,6/30/2017 23:04,570,E 25 St & 1 Ave,E 51 St & 1 Ave,Subscriber,Male,1988
6805734,6/30/2017 18:48,6/30/2017 19:27,2313,Central Park West & W 72 St,5 Ave & E 88 St,Customer,,
6810129,6/30/2017 20:04,6/30/2017 20:40,2149,11 Ave & W 59 St,11 Ave & W 59 St,Subscriber,Male,1968
6812307,6/30/2017 20:57,6/30/2017 21:37,2390,Rivington St & Ridge St,1 Ave & E 68 St,Subscriber,Male,1976
6808507,6/30/2017 19:33,6/30/2017 19:48,944,Lispenard St & Broadway,Division St & Bowery,Subscriber,Male,1986
6812099,6/30/2017 20:51,6/30/2017 21:06,940,Murray St & Greenwich St,Barrow St & Hudson St,Subscriber,Male,1996
6809945,6/30/2017 20:00,6/30/2017 20:14,833,Wythe Ave & Metropolitan Ave,Clinton Ave & Flushing Ave,Subscriber,Female,1987
6807689,6/30/2017 19:18,6/30/2017 19:25,375,11 Ave & W 27 St,W 24 St & 7 Ave,Subscriber,Male,1987
6808145,6/30/2017 19:26,6/30/2017 19:40,815,Warren St & Court St,10 St & 7 Ave,Subscriber,Male,1967
6815683,6/30/2017 23:17,6/30/2017 23:40,1413,Broadway & Battery Pl,E 5 St & Avenue C,Subscriber,Male,1959
6810202,6/30/2017 20:06,6/30/2017 20:12,405,Graham Ave & Grand St,Richardson St & N Henry St,Subscriber,Male,1992
6808831,6/30/2017 19:39,6/30/2017 20:06,1626,Cadman Plaza E & Tillary St,Brooklyn Bridge Park - Pier 2,Customer,Female,1986
6809339,6/30/2017 19:48,6/30/2017 20:18,1823,E 25 St & 2 Ave,S 5 Pl & S 4 St,Subscriber,Female,1989
6807665,6/30/2017 19:18,6/30/2017 19:27,546,Broadway & Battery Pl,Liberty St & Broadway,Subscriber,Male,1993
6811880,6/30/2017 20:45,6/30/2017 20:47,120,E 7 St & Avenue A,E 10 St & Avenue A,Subscriber,Male,1957
6813888,6/30/2017 21:53,6/30/2017 22:11,1103,E 11 St & 1 Ave,W 22 St & 8 Ave,Customer,Male,1986
6807930,6/30/2017 19:23,6/30/2017 19:42,1181,Centre St & Chambers St,Nassau St & Navy St,Customer,,
6815678,6/30/2017 23:17,6/30/2017 23:22,309,Atlantic Ave & Fort Greene Pl,Berkeley Pl & 6 Ave,Subscriber,Male,1980
6808635,6/30/2017 19:35,6/30/2017 19:46,644,W 20 St & 7 Ave,W 20 St & 11 Ave,Subscriber,Male,1979
6815216,6/30/2017 22:51,6/30/2017 23:02,674,Greenpoint Ave & Manhattan Ave,S 3 St & Bedford Ave,Subscriber,Male,1985
6807096,6/30/2017 19:09,6/30/2017 19:15,379,E 30 St & Park Ave S,W 37 St & Broadway,Subscriber,Male,1979
6808029,6/30/2017 19:24,6/30/2017 20:02,2275,11 Ave & W 41 St,W 41 St & 8 Ave,Subscriber,Male,1992
6811668,6/30/2017 20:39,6/30/2017 21:02,1383,Reade St & Broadway,Sullivan St & Washington Sq,Customer,,
6805153,6/30/2017 18:40,6/30/2017 18:47,450,W 41 St & 8 Ave,11 Ave & W 41 St,Subscriber,Male,1971
6807604,6/30/2017 19:17,6/30/2017 19:23,344,W 31 St & 7 Ave,W 34 St & 11 Ave,Subscriber,Male,1991
6808725,6/30/2017 19:37,6/30/2017 19:45,520,W 13 St & 6 Ave,W 26 St & 8 Ave,Subscriber,Male,1963
6807507,6/30/2017 19:15,6/30/2017 19:24,530,E 10 St & Avenue A,Rivington St & Chrystie St,Subscriber,Male,1985
6805134,6/30/2017 18:39,6/30/2017 18:48,520,Cleveland Pl & Spring St,Broadway & E 14 St,Subscriber,Female,1988
6814771,6/30/2017 22:30,6/30/2017 22:39,581,Clinton Ave & Myrtle Ave,Fulton St & Washington Ave,Subscriber,Male,1964
6809012,6/30/2017 19:42,6/30/2017 19:47,307,MacDougal St & Washington Sq,Cooper Square & E 7 St,Subscriber,Male,1994
6814101,6/30/2017 22:02,6/30/2017 22:07,264,Garfield Pl & 8 Ave,Grand Army Plaza & Plaza St West,Subscriber,Male,1988
6805003,6/30/2017 18:38,6/30/2017 18:42,253,W 92 St & Broadway,Columbus Ave & W 95 St,Subscriber,Male,1987
6812800,6/30/2017 21:13,6/30/2017 21:23,601,Broadway & W 56 St,E 55 St & 3 Ave,Subscriber,Male,1980
6808835,6/30/2017 19:39,6/30/2017 20:16,2265,Great Jones St,6 Ave & W 33 St,Customer,,
6808026,6/30/2017 19:24,6/30/2017 19:38,824,Amsterdam Ave & W 73 St,Cathedral Pkwy & Broadway,Customer,,
6812399,6/30/2017 21:00,6/30/2017 21:16,950,Riverside Dr & W 78 St,E 51 St & Lexington Ave,Subscriber,Male,1956
6815010,6/30/2017 22:41,6/30/2017 22:54,808,Broadway & E 14 St,Mercer St & Bleecker St,Subscriber,Male,1998
6806618,6/30/2017 19:02,6/30/2017 19:21,1143,Forsyth St & Canal St,Bus Slip & State St,Customer,,
6811199,6/30/2017 20:27,6/30/2017 20:34,414,1 Ave & E 78 St,3 Ave & E 71 St,Subscriber,Male,1965
6807851,6/30/2017 19:21,6/30/2017 19:36,872,9 Ave & W 28 St,LaGuardia Pl & W 3 St,Subscriber,Male,1989
6814038,6/30/2017 21:59,6/30/2017 22:27,1695,Prospect Park West & 8 St,Clinton Ave & Flushing Ave,Subscriber,Male,1992
6807723,6/30/2017 19:19,6/30/2017 19:36,1030,3 St & Prospect Park West,Prospect Park West & 8 St,Subscriber,,
6815873,6/30/2017 23:29,6/30/2017 23:49,1207,Allen St & Hester St,Allen St & Hester St,Subscriber,Male,1985
6806188,6/30/2017 18:55,6/30/2017 19:22,1630,W 106 St & Central Park West,5 Ave & E 73 St,Customer,,
6812067,6/30/2017 20:50,6/30/2017 21:07,1019,E 44 St & 2 Ave,Great Jones St,Subscriber,Male,1974
6809443,6/30/2017 19:50,6/30/2017 19:59,550,Montrose Ave & Bushwick Ave,Graham Ave & Conselyea St,Subscriber,Female,1988
6812661,6/30/2017 21:08,6/30/2017 21:31,1375,W 21 St & 6 Ave,Norfolk St & Broome St,Subscriber,Male,1978
6811632,6/30/2017 20:38,6/30/2017 21:04,1577,Rivington St & Chrystie St,E 47 St & 1 Ave,Customer,,
6812111,6/30/2017 20:51,6/30/2017 20:57,375,Fulton St & Rockwell Pl,Fulton St & Washington Ave,Subscriber,Male,1986
6809856,6/30/2017 19:58,6/30/2017 20:08,587,N 8 St & Driggs Ave,Broadway & Berry St,Customer,,
6813669,6/30/2017 21:45,6/30/2017 22:01,1003,E 31 St & 3 Ave,Rivington St & Chrystie St,Subscriber,Male,1976
6805540,6/30/2017 18:45,6/30/2017 18:59,840,W 43 St & 10 Ave,W 20 St & 8 Ave,Subscriber,Male,1949
6812808,6/30/2017 21:13,6/30/2017 21:32,1119,Garfield Pl & 8 Ave,Duffield St & Willoughby St,Subscriber,Male,1980
6806204,6/30/2017 18:55,6/30/2017 19:30,2085,12 Ave & W 40 St,12 Ave & W 40 St,Customer,,
6813276,6/30/2017 21:30,6/30/2017 22:01,1890,Mercer St & Spring St,Central Park S & 6 Ave,Subscriber,Male,1988
6814181,6/30/2017 22:05,6/30/2017 22:20,931,Amsterdam Ave & W 66 St,E 84 St & Park Ave,Subscriber,Female,1959
6807120,6/30/2017 19:09,6/30/2017 19:26,991,Broadway & W 41 St,Broadway & W 29 St,Subscriber,Male,1988
6812928,6/30/2017 21:17,6/30/2017 21:29,728,University Pl & E 14 St,Allen St & Stanton St,Subscriber,Male,1992
6809925,6/30/2017 19:59,6/30/2017 20:22,1362,1 Ave & E 78 St,W 13 St & Hudson St,Subscriber,Male,1992
6809360,6/30/2017 19:48,6/30/2017 20:01,756,Pershing Square North,E 15 St & 3 Ave,Subscriber,Female,1979
6815072,6/30/2017 22:44,6/30/2017 23:06,1315,South St & Gouverneur Ln,E 7 St & Avenue A,Subscriber,Female,1988
6814144,6/30/2017 22:03,6/30/2017 22:24,1211,Clinton St & Union St,Clinton St & 4 Place,Subscriber,Female,1986
6811030,6/30/2017 20:23,6/30/2017 20:35,701,Old Fulton St,Johnson St & Gold St,Subscriber,Female,1978
6815102,6/30/2017 22:45,6/30/2017 22:51,393,Devoe St & Lorimer St,Union Ave & N 12 St,Subscriber,Male,1980
6805057,6/30/2017 18:38,6/30/2017 18:41,172,Vernon Blvd & 50 Ave,46 Ave & 5 St,Subscriber,Male,1971
6813282,6/30/2017 21:30,6/30/2017 21:45,903,Sullivan St & Washington Sq,Broadway & W 29 St,Subscriber,Male,1986
6812166,6/30/2017 20:53,6/30/2017 20:57,271,E 81 St & York Ave,E 81 St & 3 Ave,Subscriber,Male,1987
6810688,6/30/2017 20:16,6/30/2017 20:35,1119,Peck Slip & Front St,E 13 St & Avenue A,Subscriber,Male,1993
6808772,6/30/2017 19:38,6/30/2017 19:42,288,E 2 St & Avenue C,E 7 St & Avenue A,Subscriber,Male,1990
6814493,6/30/2017 22:18,6/30/2017 22:32,818,Pershing Square North,Broadway & W 60 St,Subscriber,Male,1985
6813851,6/30/2017 21:51,6/30/2017 21:55,231,9 Ave & W 28 St,9 Ave & W 18 St,Subscriber,,1965
6809758,6/30/2017 19:56,6/30/2017 20:07,687,E 10 St & Avenue A,MacDougal St & Prince St,Subscriber,Male,1987
6807207,6/30/2017 19:11,6/30/2017 19:21,606,E 19 St & 3 Ave,Allen St & Rivington St,Subscriber,Female,1983
6806987,6/30/2017 19:07,6/30/2017 19:14,383,11 Ave & W 27 St,8 Ave & W 16 St,Subscriber,Male,1986
6816108,6/30/2017 23:49,6/30/2017 23:56,461,Montrose Ave & Bushwick Ave,Richardson St & N Henry St,Subscriber,Female,1990
6810896,6/30/2017 20:20,6/30/2017 20:28,455,W 13 St & 6 Ave,E 16 St & Irving Pl,Subscriber,Male,1986
6807934,6/30/2017 19:23,6/30/2017 19:33,593,Mercer St & Bleecker St,Washington St & Gansevoort St,Subscriber,Male,1962
6815820,6/30/2017 23:26,6/30/2017 23:54,1683,E 76 St & 3 Ave,E 20 St & 2 Ave,Subscriber,Male,1957
6807966,6/30/2017 19:23,6/30/2017 20:04,2420,Howard St & Centre St,Columbus Ave & W 72 St,Customer,,
6807117,6/30/2017 19:09,6/30/2017 19:20,642,Milton St & Franklin St,Vernon Blvd & 50 Ave,Subscriber,Male,1970
6815902,6/30/2017 23:32,6/30/2017 23:40,456,8 Ave & W 52 St,W 67 St & Broadway,Subscriber,Male,1965
6810541,6/30/2017 20:13,6/30/2017 20:44,1842,West St & Chambers St,W 47 St & 10 Ave,Subscriber,Female,1979
6805306,6/30/2017 18:42,6/30/2017 18:49,416,Dean St & 4 Ave,4 Ave & 9 St,Subscriber,Male,1991
6814040,6/30/2017 21:59,6/30/2017 22:08,526,1 Ave & E 44 St,E 25 St & 2 Ave,Subscriber,Male,1981
6812016,6/30/2017 20:49,6/30/2017 21:15,1615,W 88 St & West End Ave,W 54 St & 9 Ave,Subscriber,Male,1970
6805710,6/30/2017 18:48,6/30/2017 19:09,1251,Broadway & W 29 St,E 75 St & 3 Ave,Subscriber,Male,1982
6808860,6/30/2017 19:39,6/30/2017 19:43,238,Henry St & Poplar St,Hicks St & Montague St,Subscriber,Male,1981
6811261,6/30/2017 20:29,6/30/2017 20:31,171,W 52 St & 9 Ave,W 49 St & 8 Ave,Subscriber,Male,1971
6806874,6/30/2017 19:06,6/30/2017 19:23,1055,E 19 St & 3 Ave,E 16 St & Irving Pl,Customer,Male,1996
6806169,6/30/2017 18:55,6/30/2017 19:14,1135,W 74 St & Columbus Ave,W 104 St & Amsterdam Ave,Subscriber,Female,1966
6804673,6/30/2017 18:33,6/30/2017 18:42,535,2 Ave & 9 St,10 St & 7 Ave,Subscriber,Male,1974
6809093,6/30/2017 19:43,6/30/2017 19:46,158,DeKalb Ave & S Portland Ave,DeKalb Ave & Hudson Ave,Subscriber,Female,1981
6808077,6/30/2017 19:25,6/30/2017 19:36,673,South End Ave & Liberty St,Leonard St & Church St,Subscriber,Female,1991
